X,Y,objectid,linea,estacion,sentido,sistema,label,tipo
-75.605166379693,6.23102311540969,132,2,637,A,MPLUS,Parada Los Alpes (Línea 2),2
-75.6051687343198,6.23109274134551,133,2,637,B,MPLUS,Parada Los Alpes (Línea 2),2
-75.609224897352,6.23066688235755,134,2,636,A,MPLUS,Estación Universidad de Medellín (Línea 2),1
-75.555817216864,6.26207271302458,135,2,650,A,MPLUS,Parada Palos Verdes (Línea 2),2
-75.5566589884957,6.28520013191353,136,1,55,B,MPLUS,Parada Parque Aranjuez (Línea 1),2
-75.5566589884957,6.28520013191353,137,2,655,B,MPLUS,Parada Parque Aranjuez (Línea 2),2
-75.609224897352,6.23066688235755,138,1,36,B,MPLUS,Estación Universidad de Medellín (Línea 1),1
-75.609224897352,6.23066688235755,139,2,636,B,MPLUS,Estación Universidad de Medellín (Línea 2),1
-75.570361930588,6.27751343007558,140,O,1457,A,MPLUS,Parada Caribe Buses CR 64,3
-75.5740298727951,6.27535652606382,141,O,1458,A,MPLUS,Parada Cementerio Universal,3
-75.5783373764567,6.27377406589791,142,O,1460,A,MPLUS,Parada Barrio Cordoba Tranversal 78,3
-75.5825966383652,6.27362534683582,143,O,1461,A,MPLUS,Parada Barrio Pilarica CL 73 x CR 72A,3
-75.5875260325229,6.27313026212327,144,O,1462,A,MPLUS,Parada Ciudadela Universitaria,3
-75.5937884364826,6.27214975023492,145,O,1463,A,MPLUS,Parada Facultad de Minas,3
-75.5952468357226,6.27010873759655,146,O,1464,A,MPLUS,Parada Barrio los Colores AV 80 x CL 54,3
-75.5963466701954,6.26519826681528,147,O,1465,A,MPLUS,Parada Barrio Calazans,3
-75.5979370074343,6.25812834738084,148,O,1466,A,MPLUS,Parada Integracion Estación Floresta,3
-75.5988131596101,6.25469479176134,149,O,1467,A,MPLUS,Parada Barrio Los Pinos,3
-75.6026251719487,6.24632065345436,150,O,1468,A,MPLUS,Parada Barrio Laureles,3
-75.6029836958934,6.24003263466181,151,O,1469,A,MPLUS,Parada  Santa Gema,3
-75.6022850409899,6.23491938625772,152,O,1470,A,MPLUS,Parada Nueva Villa de Aburrá,3
-75.6022176848853,6.23282905295268,153,O,1471,A,MPLUS,Parada Integracion La Palma,3
-75.602100596521,6.23243079104751,154,O,1472,B,MPLUS,Parada Integracion La Palma,3
-75.570361930588,6.27751343007558,155,O,1457,B,MPLUS,Parada Caribe Buses CR 64,3
-75.602180098699,6.2353703760102,156,O,1473,B,MPLUS,Parada  Nueva Villa de Aburrá,3
-75.6028934019198,6.2397295275254,157,O,1474,B,MPLUS,Parada Barrio Santa Gema,3
-75.6025171241812,6.24630977613228,158,O,1475,B,MPLUS,Parada Barrio Laureles,3
-75.5985323547394,6.25503180857409,159,O,1476,B,MPLUS,Parada Barrio Los Pinos,3
-75.5975699853733,6.25921067949972,160,O,1477,B,MPLUS,Parada Integracion Barrio Floresta,3
-75.5964085635515,6.26446582358794,161,O,1478,B,MPLUS,Parada Barrio Calazans,3
-75.5951865534769,6.26990546608565,162,O,1479,B,MPLUS,Parada Barrio los colores AV 80 x CL 54,3
-75.5921501311547,6.27378508423785,163,O,1480,B,MPLUS,Parada Facultad de Minas,3
-75.5885818188647,6.27302466358674,164,O,1481,B,MPLUS,Parada Ciudadela Universitaria,3
-75.5827614463914,6.2735522083268,165,O,1482,B,MPLUS,Parada Barrio Pilarica CL 73 x CR 72A,3
-75.5782504741456,6.27411147965412,166,O,1483,B,MPLUS,Parada Barrio Cordoba CR 67 x CL 78A,3
-75.5731677351953,6.27684981330076,167,O,1459,B,MPLUS,Parada Cementerio Universal CR 65,3
