"Día","Línea de Servicio","Hora de operación","","","","","","","","","","","","","","","","","","","",""
"","","4:00","5:00","6:00","7:00","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","Total general (Número de pasajeros)"
"05/06/2023","LÍNEA A","17,071.00 ","47,800.00 ","62,272.00 ","50,584.00 ","30,901 ","26,446 ","24,003 ","24,855 ","28,112 ","27,329 ","33,724 ","35,919 ","58,175 ","80,901 ","53,636 ","32,235 ","20,030 ","15,677 ","8,330.00 ","","678,000 "
"05/06/2023","LÍNEA B","3,308 ","7,804 ","9,122 ","7,745 ","4,949 ","4,415 ","3,970 ","3,955 ","4,745 ","4,168 ","4,470 ","5,068 ","6,902 ","10,150 ","6,791 ","3,704 ","2,914 ","3,066 ","1,230 ","","98,476 "
"05/06/2023","LÍNEA H","240.00 ","617.00 ","402.00 ","264.00 ","201 ","132 ","124 ","131 ","125 ","95 ","63 ","72 ","75 ","60 ","47 ","40 ","41 ","13 ","3 ","","2,745 "
"05/06/2023","LÍNEA J","1,517 ","2,712 ","2,435 ","1,936 ","1,309 ","910 ","804 ","829 ","874 ","661 ","578 ","540 ","607 ","677 ","431 ","339 ","283 ","141 ","45 ","","17,628 "
"05/06/2023","LÍNEA K","2,547 ","2,819 ","2,692 ","2,196 ","1,663 ","1,297 ","1,040 ","1,204 ","1,416 ","1,005 ","748 ","768 ","1,032 ","949 ","730 ","598 ","608 ","310 ","111 ","","23,733 "
"05/06/2023","LÍNEA M","334 ","916 ","870 ","620 ","376 ","282 ","276 ","335 ","458 ","308 ","369 ","511 ","413 ","553 ","1,102 ","961 ","445 ","346 ","320 ","","9,795 "
"05/06/2023","LÍNEA O","244 ","1,207 ","1,540 ","1,452 ","988 ","954 ","691 ","720 ","906 ","778 ","729 ","885 ","1,068 ","1,492 ","1,151 ","932 ","723 ","604 ","243 ","","17,307 "
"05/06/2023","LÍNEA P","1,379 ","3,344 ","3,124 ","2,129 ","1,218 ","941 ","787 ","1,263 ","1,380 ","807 ","617 ","683 ","931 ","1,190 ","812 ","453 ","605 ","509 ","129 ","","22,301 "
"05/06/2023","LÍNEA T-A","1,406 ","3,976 ","4,706 ","4,225 ","2,834 ","2,337 ","2,156 ","2,326 ","3,001 ","2,481 ","2,590 ","3,091 ","2,353 ","3,284 ","4,797 ","3,523 ","2,244 ","1,745 ","1,130 ","","54,205 "
"06/06/2023","LÍNEA 1","3,032 ","8,635 ","11,442 ","10,196 ","6,699 ","5,694 ","4,614 ","5,153 ","5,370 ","5,153 ","5,589 ","6,005 ","8,646 ","11,169 ","8,208 ","5,041 ","3,454 ","2,801 ","1,325 ","","118,226 "
"06/06/2023","LÍNEA 2","201 ","844 ","1,161 ","1,110 ","999 ","1,040 ","1,025 ","1,203 ","1,216 ","1,053 ","1,169 ","1,477 ","2,032 ","2,266 ","2,024 ","1,248 ","901 ","584 ","183 ","","21,736 "
"06/06/2023","LÍNEA A","16,885 ","46,352 ","63,922 ","52,904 ","32,937 ","27,938 ","24,376 ","25,885 ","29,158 ","27,951 ","33,347 ","36,091 ","58,706 ","82,340 ","58,027 ","33,629 ","21,442 ","16,637 ","8,932 ","","697,459 "
"06/06/2023","LÍNEA B","3,217 ","7,806 ","9,533 ","8,336 ","5,464 ","4,514 ","3,944 ","3,967 ","4,688 ","4,112 ","4,336 ","5,013 ","7,227 ","10,305 ","7,178 ","4,067 ","3,208 ","2,405 ","1,167 ","","100,487 "
"06/06/2023","LÍNEA H","231 ","571 ","473 ","256 ","154 ","120 ","111 ","147 ","118 ","79 ","65 ","71 ","85 ","69 ","41 ","39 ","44 ","15 ","4 ","","2,693 "
"06/06/2023","LÍNEA J","1,423 ","2,603 ","2,487 ","2,210 ","1,379 ","988 ","822 ","799 ","932 ","618 ","555 ","504 ","661 ","713 ","435 ","357 ","274 ","141 ","47 ","74 ","18,022 "
"06/06/2023","LÍNEA K","2,514 ","2,855 ","2,700 ","2,240 ","1,700 ","1,360 ","1,104 ","1,168 ","1,379 ","1,027 ","857 ","824 ","1,054 ","1,136 ","818 ","613 ","561 ","303 ","95 ","14 ","24,322 "
"06/06/2023","LÍNEA L","","","","","","122 ","98 ","125 ","117 ","137 ","98 ","116 ","131 ","108 ","","","","","","","1,052 "
"06/06/2023","LÍNEA M","353 ","944 ","900 ","630 ","369 ","307 ","267 ","382 ","398 ","364 ","385 ","513 ","674 ","934 ","1,148 ","881 ","540 ","321 ","326 ","1 ","10,637 "
"06/06/2023","LÍNEA O","229.00 ","1,378.00 ","1,493.00 ","1,705.00 ","940.00 ","1,036 ","772 ","832 ","861 ","861 ","768 ","956 ","1,221 ","1,613 ","1,278 ","898.00 ","788.00 ","592.00 ","253.00 ","","18,474 "
"06/06/2023","LÍNEA P","1,412 ","3,278 ","3,010 ","2,273 ","1,291 ","884 ","749 ","1,282 ","1,277 ","814 ","687 ","663 ","948 ","1,291 ","766 ","478 ","680 ","491 ","121 ","77 ","22,472 "
"06/06/2023","LÍNEA T-A","1,392 ","4,217 ","4,910 ","4,405 ","3,027 ","2,465 ","2,196 ","2,615 ","3,148 ","2,680 ","2,662 ","3,133 ","4,135 ","5,301 ","5,106 ","3,245 ","2,515 ","1,792 ","1,089 ","7 ","60,040 "
"07/06/2023","LÍNEA 1","2,914 ","8,496 ","11,231 ","10,000 ","6,431 ","5,530 ","4,635 ","4,992 ","5,267 ","5,019 ","5,610 ","6,014 ","8,523 ","10,832 ","7,962 ","5,118 ","3,625 ","2,752 ","1,426 ","84 ","116,461 "
"07/06/2023","LÍNEA 2","185 ","836 ","1,126 ","1,097 ","1,016 ","994 ","745 ","15 ","","287 ","1,094 ","1,416 ","2,085 ","2,239 ","1,920 ","1,269 ","915 ","576 ","265 ","120 ","18,200 "
"07/06/2023","LÍNEA A","16,552 ","46,986 ","63,246 ","52,017 ","31,953 ","28,062 ","24,954 ","26,795 ","29,821 ","28,771 ","33,719 ","36,170 ","59,700 ","81,790 ","57,993 ","32,735 ","22,153 ","17,247 ","9,391 ","","700,055 "
"07/06/2023","LÍNEA B","3,106 ","7,751 ","9,259 ","8,109 ","5,035 ","4,451 ","4,011 ","4,092 ","4,490 ","4,354 ","4,506 ","5,809 ","7,379 ","10,366 ","7,026 ","4,033 ","3,235 ","2,479 ","1,267 ","20 ","100,778 "
"07/06/2023","LÍNEA H","225 ","568 ","437 ","285 ","161 ","126 ","121 ","111 ","127 ","90 ","64 ","50 ","63 ","57 ","59 ","42 ","46 ","9 ","3 ","","2,644 "
"07/06/2023","LÍNEA J","1,443 ","2,450 ","2,439 ","2,212 ","1,363 ","946 ","839 ","807 ","851 ","629 ","593 ","562 ","680 ","662 ","433 ","343 ","272 ","122 ","52 ","50 ","17,748 "
"07/06/2023","LÍNEA K","2,450 ","2,817 ","2,750 ","2,183 ","1,752 ","1,337 ","1,162 ","1,207 ","1,410 ","1,045 ","854 ","824 ","1,061 ","965 ","786 ","585 ","553 ","306 ","103 ","8 ","24,158 "
"07/06/2023","LÍNEA L","","","","","","88 ","107 ","108 ","126 ","118 ","161 ","106 ","111 ","138 ","","","","","","3 ","1,066 "
"07/06/2023","LÍNEA M","360 ","878 ","902 ","670 ","385 ","304 ","252 ","281 ","310 ","307 ","343 ","477 ","724 ","930 ","1,058 ","987 ","506 ","370 ","316 ","","10,360 "
"07/06/2023","LÍNEA O","246.00 ","1,265.00 ","1,594.00 ","1,625.00 ","988.00 ","1,004 ","758 ","796 ","844 ","820 ","804 ","870 ","1,265 ","1,458 ","1,276.00 ","878.00 ","794.00 ","603.00 ","285.00 ","","18,173 "
"07/06/2023","LÍNEA P","1,415 ","3,359 ","3,077 ","2,232 ","1,300 ","912 ","815 ","1,123 ","1,375 ","801 ","685 ","687 ","944 ","1,283 ","893 ","485 ","637 ","567 ","143 ","73 ","22,806 "
"07/06/2023","LÍNEA T-A","1,326 ","3,916 ","4,794 ","4,297 ","3,023 ","2,416 ","2,098 ","1,932 ","2,478 ","2,381 ","2,648 ","3,137 ","4,279 ","5,126 ","4,811 ","3,278 ","2,528 ","1,812 ","1,205 ","3 ","57,488 "
"08/06/2023","LÍNEA 1","2,917 ","8,131 ","11,125 ","9,925 ","6,496 ","5,517 ","4,555 ","4,835 ","4,979 ","4,214 ","4,831 ","5,276 ","7,012 ","8,705 ","8,165 ","5,537 ","3,400 ","2,589 ","1,283 ","54 ","109,546 "
"08/06/2023","LÍNEA 2","207 ","762 ","1,140 ","1,104 ","945 ","1,000 ","992 ","1,093 ","1,158 ","1,041 ","1,281 ","1,481 ","1,897 ","1,991 ","1,658 ","1,408 ","895 ","573 ","192 ","49 ","20,867 "
"08/06/2023","LÍNEA A","15,835 ","44,715 ","62,607 ","52,393 ","32,376 ","26,914 ","23,884 ","24,997 ","27,780 ","27,600 ","33,733 ","38,242 ","59,073 ","78,515 ","60,598 ","34,528 ","21,531 ","16,435 ","8,832 ","","690,588 "
"08/06/2023","LÍNEA B","3,048 ","7,548 ","9,388 ","7,982 ","5,090 ","4,393 ","3,765 ","3,952 ","4,263 ","4,070 ","4,436 ","5,361 ","7,126 ","10,124 ","7,512 ","4,353 ","3,155 ","2,293 ","1,074 ","6 ","98,939 "
"08/06/2023","LÍNEA H","186 ","567 ","457 ","293 ","149 ","135 ","117 ","123 ","122 ","121 ","69 ","68 ","69 ","54 ","49 ","37 ","36 ","12 ","4 ","","2,668 "
"08/06/2023","LÍNEA J","1,388 ","2,572 ","2,465 ","1,958 ","1,380 ","994 ","834 ","769 ","765 ","670 ","610 ","520 ","611 ","537 ","321 ","263 ","294 ","103 ","28 ","66 ","17,148 "
"08/06/2023","LÍNEA K","2,358 ","2,809 ","2,718 ","2,139 ","1,672 ","1,388 ","1,160 ","1,181 ","1,291 ","1,055 ","835 ","888 ","887 ","865 ","722 ","531 ","583 ","272 ","94 ","13 ","23,461 "
"08/06/2023","LÍNEA L","","","","","","119 ","90 ","101 ","119 ","120 ","112 ","98 ","149 ","108 ","","","","","","3 ","1,019 "
"08/06/2023","LÍNEA M","323 ","840 ","891 ","675 ","433 ","261 ","309 ","301 ","340 ","364 ","329 ","534 ","662 ","924 ","1,041 ","944 ","537 ","319 ","319 ","","10,346 "
"08/06/2023","LÍNEA O","225.00 ","1,140.00 ","1,372.00 ","1,362.00 ","1,003.00 ","969 ","666 ","780 ","808 ","732 ","779 ","877 ","1,189 ","1,249 ","1,118.00 ","989.00 ","628.00 ","562.00 ","237.00 ","","16,685 "
"08/06/2023","LÍNEA P","1,198 ","3,104 ","3,121 ","2,290 ","1,294 ","917 ","770 ","1,203 ","1,200 ","817 ","659 ","698 ","900 ","266 ","1,352 ","444 ","604 ","433 ","90 ","72 ","21,432 "
"08/06/2023","LÍNEA T-A","1,247 ","3,708 ","4,773 ","4,353 ","2,917 ","2,424 ","2,113 ","2,428 ","2,777 ","2,426 ","2,600 ","3,227 ","4,152 ","5,165 ","4,650 ","3,498 ","2,338 ","1,731 ","1,110 ","5 ","57,642 "
"09/06/2023","LÍNEA 1","2,935 ","8,330 ","10,888 ","9,605 ","6,450 ","5,338 ","4,581 ","4,843 ","4,947 ","4,766 ","5,828 ","6,486 ","8,599 ","9,699 ","7,556 ","5,251 ","3,451 ","2,857 ","1,350 ","62 ","113,822 "
"09/06/2023","LÍNEA 2","170 ","798 ","1,159 ","1,067 ","926 ","891 ","939 ","1,090 ","1,107 ","1,071 ","1,241 ","1,432 ","2,006 ","2,022 ","1,739 ","1,280 ","834 ","672 ","238 ","61 ","20,743 "
"09/06/2023","LÍNEA A","16,085 ","45,644 ","61,264 ","49,529 ","32,148 ","26,655 ","24,167 ","25,392 ","28,628 ","28,242 ","35,805 ","40,039 ","60,966 ","76,103 ","56,580 ","35,667 ","23,556 ","19,294 ","11,612 ","","697,376 "
"09/06/2023","LÍNEA B","3,108 ","7,569 ","9,128 ","7,864 ","5,127 ","4,330 ","3,793 ","3,897 ","4,366 ","4,326 ","4,640 ","5,529 ","7,351 ","9,811 ","7,132 ","4,554 ","3,643 ","2,769 ","2,288 ","11 ","101,236 "
"09/06/2023","LÍNEA H","209 ","557 ","442 ","299 ","152 ","137 ","119 ","119 ","112 ","85 ","67 ","59 ","100 ","58 ","58 ","77 ","48 ","16 ","9 ","","2,723 "
"09/06/2023","LÍNEA J","1,425 ","2,568 ","2,510 ","2,096 ","1,357 ","901 ","787 ","760 ","895 ","655 ","589 ","605 ","760 ","678 ","502 ","403 ","303 ","201 ","76 ","115 ","18,186 "
"09/06/2023","LÍNEA K","2,506 ","2,809 ","2,743 ","2,387 ","1,686 ","1,388 ","1,159 ","1,261 ","1,317 ","1,112 ","992 ","964 ","1,081 ","1,120 ","824 ","677 ","678 ","333 ","46 ","17 ","25,100 "
"09/06/2023","LÍNEA L","","","","","","147 ","93 ","127 ","199 ","140 ","108 ","168 ","160 ","202 ","","","","","","1 ","1,345 "
"09/06/2023","LÍNEA M","336 ","887 ","883 ","639 ","423 ","291 ","273 ","297 ","377 ","317 ","393 ","522 ","740 ","901 ","1,100 ","787 ","542 ","394 ","373 ","1 ","10,476 "
"09/06/2023","LÍNEA O","217.00 ","1,235.00 ","1,439.00 ","1,474.00 ","967.00 ","837 ","689 ","760 ","791 ","777 ","695 ","821 ","1,280 ","1,318 ","1,054.00 ","928.00 ","619.00 ","521.00 ","252.00 ","","16,674 "
"09/06/2023","LÍNEA P","1,309 ","3,112 ","3,198 ","2,235 ","1,287 ","1,043 ","776 ","1,236 ","1,193 ","846 ","777 ","851 ","939 ","1,145 ","794 ","528 ","700 ","540 ","160 ","128 ","22,797 "
"09/06/2023","LÍNEA T-A","1,343 ","3,894 ","4,597 ","4,212 ","2,902 ","2,376 ","2,167 ","2,348 ","2,662 ","2,397 ","2,663 ","3,356 ","4,151 ","5,001 ","4,592 ","3,496 ","2,369 ","1,928 ","1,463 ","1 ","57,918 "
"10/06/2023","LÍNEA 1","2,201 ","5,005 ","6,590 ","6,954 ","4,995 ","4,492 ","4,219 ","4,739 ","6,369 ","6,564 ","5,892 ","5,007 ","4,991 ","4,388 ","4,132 ","3,542 ","2,686 ","2,336 ","1,366 ","86 ","86,554 "
"10/06/2023","LÍNEA 2","132 ","517 ","696 ","807 ","687 ","795 ","863 ","1,123 ","1,468 ","1,352 ","1,286 ","1,181 ","1,180 ","1,084 ","1,165 ","841 ","609 ","491 ","221 ","60 ","16,558 "
"10/06/2023","LÍNEA A","12,474 ","28,435 ","35,549 ","33,749 ","25,258 ","22,751 ","22,655 ","27,042 ","42,265 ","43,893 ","42,248 ","34,260 ","32,995 ","30,687 ","29,183 ","23,383 ","16,775 ","15,899 ","9,122 ","","528,623 "
"10/06/2023","LÍNEA B","2,337 ","4,770 ","5,498 ","5,459 ","4,402 ","3,796 ","4,024 ","4,848 ","6,090 ","6,149 ","5,487 ","4,954 ","4,841 ","4,606 ","4,181 ","3,184 ","2,536 ","2,200 ","1,302 ","23 ","80,687 "
"10/06/2023","LÍNEA H","159 ","381 ","309 ","261 ","144 ","116 ","130 ","133 ","120 ","84 ","96 ","97 ","90 ","71 ","86 ","51 ","35 ","37 ","24 ","3 ","2,427 "
"10/06/2023","LÍNEA J","1,045 ","1,814 ","1,962 ","1,771 ","1,300 ","968 ","876 ","821 ","972 ","755 ","698 ","664 ","703 ","633 ","593 ","560 ","414 ","299 ","149 ","116 ","17,113 "
"10/06/2023","LÍNEA K","1,937 ","2,715 ","2,520 ","2,154 ","1,532 ","1,456 ","1,256 ","1,208 ","1,402 ","1,223 ","1,078 ","1,008 ","1,144 ","1,160 ","953 ","882 ","694 ","503 ","214 ","20 ","25,059 "
"10/06/2023","LÍNEA L","","","","","","198 ","150 ","232 ","174 ","188 ","216 ","185 ","225 ","303 ","","","","","","6 ","1,877 "
"10/06/2023","LÍNEA M","278 ","634 ","624 ","538 ","411 ","300 ","265 ","389 ","482 ","598 ","674 ","704 ","548 ","529 ","562 ","369 ","282 ","359 ","283 ","","8,829 "
"10/06/2023","LÍNEA O","204.00 ","695.00 ","864.00 ","913.00 ","772.00 ","625 ","586 ","666 ","855 ","776 ","742 ","608 ","645 ","636 ","584.00 ","526.00 ","454.00 ","480.00 ","199.00 ","","11,830 "
"10/06/2023","LÍNEA P","976 ","2,029 ","2,004 ","1,669 ","1,154 ","860 ","889 ","921 ","1,107 ","836 ","837 ","788 ","774 ","645 ","613 ","527 ","526 ","437 ","204 ","79 ","17,875 "
"10/06/2023","LÍNEA T-A","1,003 ","2,533 ","3,251 ","3,359 ","2,513 ","2,121 ","2,116 ","2,472 ","3,316 ","3,545 ","3,479 ","3,236 ","2,931 ","2,722 ","2,743 ","1,533 ","1,077 ","1,617 ","1,202 ","5 ","46,774 "
"11/06/2023","LÍNEA 1","471 ","1,621 ","2,145 ","2,167 ","2,045 ","2,328 ","2,756 ","2,568 ","2,613 ","2,911 ","2,968 ","2,806 ","2,805 ","2,870 ","2,709 ","2,326 ","2,158 ","1,596 ","257 ","36 ","42,156 "
"11/06/2023","LÍNEA 2","15 ","174 ","232 ","271 ","226 ","344 ","544 ","394 ","516 ","564 ","465 ","415 ","474 ","507 ","505 ","449 ","347 ","202 ","24 ","86 ","6,754 "
"11/06/2023","LÍNEA A","3,539 ","11,115 ","13,052 ","11,556 ","11,209 ","12,526 ","14,087 ","14,373 ","15,598 ","16,483 ","19,189 ","17,862 ","18,550 ","18,911 ","18,387 ","14,864 ","13,808 ","11,428 ","1,018 ","2 ","257,557 "
"11/06/2023","LÍNEA B","656 ","1,720 ","2,095 ","1,966 ","2,093 ","2,561 ","2,639 ","2,811 ","2,983 ","3,148 ","3,407 ","2,982 ","3,301 ","3,171 ","3,154 ","2,513 ","1,949 ","1,635 ","236 ","27 ","45,047 "
"11/06/2023","LÍNEA H","","","","","4 ","119 ","108 ","115 ","111 ","68 ","93 ","79 ","95 ","71 ","72 ","54 ","44 ","37 ","","","1,070 "
"11/06/2023","LÍNEA J","","","","","74 ","897 ","752 ","697 ","777 ","737 ","621 ","683 ","829 ","569 ","566 ","508 ","408 ","298 ","10 ","","8,426 "
"11/06/2023","LÍNEA K","","","","","594 ","1,132 ","1,114 ","1,105 ","1,083 ","1,192 ","1,225 ","1,354 ","1,591 ","1,620 ","950 ","722 ","626 ","481 ","16 ","4 ","14,809 "
"11/06/2023","LÍNEA L","","","","","156 ","418 ","609 ","605 ","526 ","565 ","575 ","576 ","702 ","643 ","4 ","","","","","","5,379 "
"11/06/2023","LÍNEA M","","","","","17 ","248 ","256 ","324 ","315 ","384 ","338 ","482 ","386 ","452 ","497 ","411 ","385 ","348 ","141 ","","4,984 "
"11/06/2023","LÍNEA O","30.00 ","293.00 ","334.00 ","306.00 ","299 ","364 ","371 ","351 ","317 ","329 ","408 ","360 ","448 ","454 ","473.00 ","366.00 ","406.00 ","276.00 ","49.00 ","","6,234 "
"11/06/2023","LÍNEA P","","","","","31 ","802 ","647 ","650 ","690 ","721 ","789 ","662 ","699 ","611 ","585 ","527 ","463 ","361 ","15 ","","8,253 "
"11/06/2023","LÍNEA T-A","191 ","762 ","996 ","968 ","998 ","1,364 ","1,553 ","1,529 ","1,626 ","1,780 ","1,936 ","1,847 ","1,867 ","1,742 ","1,944 ","1,633 ","1,493 ","1,375 ","355 ","","25,959 "
"12/06/2023","LÍNEA 1","526 ","1,806 ","1,950 ","1,860 ","1,560 ","1,893 ","1,972 ","2,032 ","2,162 ","2,414 ","2,681 ","2,700 ","2,775 ","2,721 ","2,840 ","2,404 ","2,108 ","1,572 ","214 ","62 ","38,252 "
"12/06/2023","LÍNEA 2","25.00 ","183.00 ","236.00 ","206.00 ","170.00 ","295 ","290 ","302 ","293 ","330 ","407 ","357 ","429 ","428 ","447 ","427 ","304 ","166 ","22 ","","5,317 "
"12/06/2023","LÍNEA A","3,845.00 ","11,191.00 ","12,089.00 ","10,011.00 ","8,827.00 ","9,356 ","11,360 ","11,917 ","12,549 ","13,685 ","17,335 ","17,429 ","18,478 ","19,354 ","18,671 ","15,603 ","13,997 ","10,727 ","729 ","","237,153 "
"12/06/2023","LÍNEA B","626 ","1,863 ","1,929 ","1,743 ","1,662 ","1,880 ","1,900 ","2,055 ","2,229 ","2,483 ","2,744 ","2,734 ","2,866 ","3,109 ","2,987 ","3,911 ","2,042 ","1,579 ","135 ","","40,477 "
"12/06/2023","LÍNEA H","","","","","2 ","73 ","65 ","114 ","98 ","65 ","65 ","81 ","84 ","75 ","83 ","50 ","48 ","14 ","7 ","","924 "
"12/06/2023","LÍNEA J","","","","","60 ","695 ","521 ","534 ","546 ","520 ","637 ","674 ","737 ","618 ","588 ","511 ","385 ","188 ","9 ","55 ","7,278 "
"12/06/2023","LÍNEA K","","","","","481 ","863 ","967 ","932 ","1,123 ","958 ","976 ","1,136 ","1,378 ","1,346 ","952 ","790 ","581 ","342 ","11 ","10 ","12,846 "
"12/06/2023","LÍNEA L","","","","","132 ","278 ","469 ","485 ","438 ","399 ","376 ","365 ","539 ","506 ","","","","","","","3,987 "
"12/06/2023","LÍNEA M","","","","","11 ","239 ","204 ","273 ","243 ","309 ","374 ","385 ","441 ","419 ","432 ","388 ","302 ","290 ","91 ","","4,401 "
"12/06/2023","LÍNEA O","25 ","341 ","313 ","269 ","247 ","310 ","346 ","306 ","296 ","314 ","348 ","411 ","406 ","446 ","420 ","397 ","445 ","304 ","40 ","41 ","6,025 "
"12/06/2023","LÍNEA P","","","","","32 ","639 ","538 ","613 ","563 ","578 ","648 ","616 ","638 ","613 ","591 ","472 ","456 ","271 ","23 ","4 ","7,295 "
"12/06/2023","LÍNEA T-A","196 ","761 ","923 ","801 ","771 ","990 ","1,179 ","1,196 ","1,367 ","1,290 ","1,666 ","1,706 ","1,842 ","1,818 ","1,892 ","1,764 ","1,520 ","1,240 ","239 ","43 ","23,204 "
"13/06/2023","LÍNEA 1","3,091 ","8,332 ","11,531 ","9,671 ","6,456 ","5,752 ","4,548 ","4,704 ","5,122 ","4,990 ","5,588 ","5,155 ","7,911 ","10,658 ","7,903 ","5,143 ","3,317 ","2,609 ","1,259 ","36 ","113,776 "
"13/06/2023","LÍNEA 2","184 ","838 ","1,177 ","1,120 ","975 ","1,022 ","1,017 ","1,179 ","1,140 ","1,141 ","1,265 ","1,327 ","1,941 ","2,167 ","1,794 ","1,256 ","880 ","492 ","166 ","","21,081 "
"13/06/2023","LÍNEA A","16,943 ","47,198 ","64,404 ","51,144 ","33,418 ","27,738 ","24,444 ","25,596 ","28,474 ","27,583 ","33,888 ","35,698 ","58,471 ","81,909 ","58,907 ","32,303 ","20,721 ","16,161 ","8,450 ","8 ","693,458 "
"13/06/2023","LÍNEA B","3,205 ","7,816 ","9,625 ","8,039 ","5,155 ","4,428 ","3,835 ","4,058 ","4,330 ","4,065 ","4,432 ","4,896 ","7,421 ","10,192 ","6,883 ","3,839 ","3,073 ","2,257 ","1,154 ","","98,703 "
"13/06/2023","LÍNEA H","249 ","593 ","459 ","265 ","175 ","129 ","106 ","87 ","107 ","80 ","62 ","76 ","80 ","67 ","50 ","52 ","34 ","12 ","3 ","39 ","2,725 "
"13/06/2023","LÍNEA J","1,443 ","2,503 ","2,526 ","2,205 ","1,410 ","962 ","817 ","771 ","837 ","638 ","649 ","537 ","685 ","630 ","425 ","318 ","275 ","135 ","39 ","5 ","17,810 "
"13/06/2023","LÍNEA K","2,532 ","2,729 ","2,735 ","2,325 ","1,672 ","1,323 ","1,219 ","1,225 ","1,346 ","1,046 ","845 ","780 ","1,001 ","970 ","655 ","538 ","557 ","283 ","95 ","1 ","23,877 "
"13/06/2023","LÍNEA M","372 ","913 ","899 ","646 ","393 ","309 ","283 ","319 ","355 ","323 ","327 ","455 ","608 ","973 ","1,061 ","879 ","554 ","336 ","261 ","","10,266 "
"13/06/2023","LÍNEA O","251.00 ","1,064.00 ","1,449.00 ","1,403.00 ","830.00 ","715 ","622 ","649 ","727 ","658 ","696 ","786 ","1,140 ","1,361 ","1,068.00 ","804.00 ","637.00 ","510.00 ","172.00 ","","15,542 "
"13/06/2023","LÍNEA P","1,435 ","3,386 ","3,168 ","2,248 ","1,301 ","945 ","765 ","1,228 ","1,232 ","866 ","661 ","747 ","1,030 ","1,181 ","642 ","494 ","697 ","470 ","116 ","51 ","22,663 "
"13/06/2023","LÍNEA T-A","1,406 ","3,730 ","4,704 ","3,985 ","2,859 ","2,376 ","2,082 ","2,464 ","2,592 ","2,472 ","2,577 ","2,964 ","3,758 ","5,249 ","4,613 ","3,230 ","2,200 ","1,593 ","1,037 ","3 ","55,894 "
"14/06/2023","LÍNEA 1","2,924 ","8,510 ","11,271 ","9,685 ","6,416 ","5,426 ","4,337 ","4,753 ","5,170 ","4,860 ","5,359 ","5,962 ","8,320 ","10,930 ","8,062 ","4,809 ","3,414 ","2,654 ","1,308 ","42 ","114,212 "
"14/06/2023","LÍNEA 2","194 ","845 ","1,121 ","1,076 ","977 ","949 ","957 ","1,086 ","1,089 ","1,060 ","1,166 ","1,545 ","2,033 ","2,227 ","1,796 ","1,285 ","844 ","505 ","212 ","51 ","21,018 "
"14/06/2023","LÍNEA A","16,533 ","46,310 ","63,705 ","51,685 ","32,234 ","27,415 ","24,172 ","24,991 ","28,220 ","27,092 ","33,460 ","35,526 ","58,726 ","82,187 ","57,432 ","32,574 ","21,023 ","16,754 ","8,924 ","","688,963 "
"14/06/2023","LÍNEA B","3,062 ","7,646 ","9,382 ","7,944 ","5,311 ","4,452 ","3,934 ","3,970 ","4,324 ","4,313 ","4,382 ","5,060 ","7,308 ","10,032 ","6,911 ","4,041 ","3,212 ","2,300 ","1,232 ","1 ","98,817 "
"14/06/2023","LÍNEA H","227 ","550 ","440 ","302 ","161 ","119 ","113 ","108 ","91 ","90 ","53 ","67 ","71 ","58 ","45 ","42 ","34 ","11 ","2 ","","2,584 "
"14/06/2023","LÍNEA J","1,511 ","2,574 ","2,500 ","2,121 ","1,384 ","971 ","794 ","788 ","776 ","684 ","566 ","549 ","678 ","669 ","438 ","324 ","276 ","151 ","50 ","118 ","17,922 "
"14/06/2023","LÍNEA K","2,486 ","2,832 ","2,758 ","2,205 ","1,679 ","1,354 ","1,167 ","1,221 ","1,530 ","1,172 ","906 ","873 ","1,060 ","1,082 ","691 ","532 ","511 ","290 ","77 ","25 ","24,451 "
"14/06/2023","LÍNEA L","","","","","","164 ","114 ","210 ","200 ","129 ","150 ","171 ","132 ","202 ","","","","","","3 ","1,475 "
"14/06/2023","LÍNEA M","341 ","888 ","959 ","647 ","425 ","323 ","322 ","323 ","357 ","291 ","396 ","480 ","696 ","945 ","1,104 ","908 ","571 ","377 ","296 ","2 ","10,651 "
"14/06/2023","LÍNEA O","230.00 ","1,069.00 ","1,489.00 ","1,204.00 ","669.00 ","880 ","641 ","641 ","735 ","665 ","672 ","743 ","1,113 ","1,454 ","957.00 ","787.00 ","629.00 ","505.00 ","232.00 ","","15,315 "
"14/06/2023","LÍNEA P","1,434 ","3,294 ","3,208 ","2,248 ","1,238 ","861 ","799 ","1,105 ","1,180 ","813 ","662 ","756 ","914 ","1,258 ","681 ","449 ","627 ","552 ","126 ","190 ","22,395 "
"14/06/2023","LÍNEA T-A","1,358 ","3,693 ","4,899 ","4,080 ","2,854 ","2,327 ","2,163 ","2,217 ","2,594 ","2,272 ","2,564 ","2,798 ","3,905 ","5,133 ","4,651 ","3,090 ","2,265 ","1,645 ","1,109 ","11 ","55,628 "
"15/06/2023","LÍNEA 1","2,998 ","8,358 ","11,009 ","9,595 ","6,607 ","5,391 ","4,518 ","4,885 ","5,202 ","4,891 ","5,272 ","6,133 ","8,374 ","10,769 ","7,937 ","4,921 ","3,716 ","2,643 ","1,554 ","115 ","114,888 "
